match,match_string,match_number,team,opponent,system,player,number,position,total_distance,zone_1,zone_2,zone_3,zone_4,zone_5,high_speed_runs,sprints,top_speed,possession_build_width,possession_build_height,possession_build_distance,possession_progression_width,possession_progression_height,possession_progression_distance,possession_third_width,possession_third_height,possession_third_distance,defensive_high_width,defensive_high_height,defensive_high_distance,defensive_mid_width,defensive_mid_height,defensive_mid_distance,defensive_low_width,defensive_low_height,defensive_low_distance
Argentina 3 - 3 France,Argentina_France,64,Argentina,France,433,ALVAREZ Julian,9,FW,12793.8,4589.1,4974.2,1742.5,944.2,543.7,158,75,33.6,54,38,19,55,33,38,41,39,52,40,36,45,40,28,33,35,23,17
Argentina 2 - 1 Australia,Argentina_Australia,50,Argentina,Australia,433,DE PAUL Rodrigo,7,CM,11710.7,3909,4876.3,1838.6,838.5,249.4,152,61,32.4,55,40,19,58,31,41,45,36,52,41,38,46,42,30,40,36,28,17
Argentina 3 - 3 France,Argentina_France,64,Argentina,France,433,DE PAUL Rodrigo,7,CM,12309.6,4768.7,4598.9,1666.7,907.2,368.1,153,68,31.7,54,38,19,55,33,38,41,39,52,40,36,45,40,28,33,35,23,17
Poland 0 - 2 Argentina,Argentina_Poland,39,Argentina,Poland,433,DE PAUL Rodrigo,7,CM,10785.9,4091.1,4444.9,1351.5,607.2,290.1,120,52,31.3,53,36,25,52,33,43,48,34,51,38,36,42,38,31,35,38,30,24
Argentina 2 - 1 Australia,Argentina_Australia,50,Argentina,Australia,433,FERNANDEZ Enzo,24,CM,11524.6,3236.1,6535.6,1230.8,466.7,55.3,114,38,29.7,55,40,19,58,31,41,45,36,52,41,38,46,42,30,40,36,28,17
Argentina 3 - 3 France,Argentina_France,64,Argentina,France,433,FERNANDEZ Enzo,24,CM,15055.1,4904.9,7060.8,2009.9,791.9,287.6,183,61,33.5,54,38,19,55,33,38,41,39,52,40,36,45,40,28,33,35,23,17
Argentina 3 - 3 France,Argentina_France,64,Argentina,France,433,MAC ALLISTER Alexis,20,CM,13599.7,5192.4,6064.1,1379,663.7,299.2,125,57,32.7,54,38,19,55,33,38,41,39,52,40,36,45,40,28,33,35,23,17
Argentina 2 - 1 Australia,Argentina_Australia,50,Argentina,Australia,433,MESSI Lionel,10,FW,8599,4752.7,2393.1,858.2,513.4,81.7,83,33,28.8,55,40,19,58,31,41,45,36,52,41,38,46,42,30,40,36,28,17
Argentina 3 - 3 France,Argentina_France,64,Argentina,France,433,MESSI Lionel,10,WG,12109.4,7127.6,2786.4,1305.4,749.6,140.5,116,60,28.7,54,38,19,55,33,38,41,39,52,40,36,45,40,28,33,35,23,17
Poland 0 - 2 Argentina,Argentina_Poland,39,Argentina,Poland,433,MESSI Lionel,10,FW,8264.4,4735.5,2165.3,748.8,533.9,81,66,32,28.5,53,36,25,52,33,43,48,34,51,38,36,42,38,31,35,38,30,24
Argentina 3 - 3 France,Argentina_France,64,Argentina,France,433,MOLINA Nahuel,26,FB,10411.8,3895.1,4064.8,1505.6,754.9,192.6,131,58,30.7,54,38,19,55,33,38,41,39,52,40,36,45,40,28,33,35,23,17
Poland 0 - 2 Argentina,Argentina_Poland,39,Argentina,Poland,433,MOLINA Nahuel,26,FB,10737.6,3974,4171.6,1403.4,773.1,415.5,119,57,33.3,53,36,25,52,33,43,48,34,51,38,36,42,38,31,35,38,30,24
Argentina 2 - 1 Australia,Argentina_Australia,50,Argentina,Australia,433,OTAMENDI Nicolas,19,CD,9656.4,3626,4460.3,1166.5,332.2,72.4,109,30,28.7,55,40,19,58,31,41,45,36,52,41,38,46,42,30,40,36,28,17
Argentina 3 - 3 France,Argentina_France,64,Argentina,France,433,OTAMENDI Nicolas,19,CD,12901.7,5223.9,5903.8,1207.6,403.8,162.6,119,37,28.9,54,38,19,55,33,38,41,39,52,40,36,45,40,28,33,35,23,17
Poland 0 - 2 Argentina,Argentina_Poland,39,Argentina,Poland,433,OTAMENDI Nicolas,19,CD,9353.9,3678,4130.7,956.9,496.7,92.6,93,29,31.1,53,36,25,52,33,43,48,34,51,38,36,42,38,31,35,38,30,24
Argentina 2 - 1 Australia,Argentina_Australia,50,Argentina,Australia,433,ROMERO Cristian,13,CD,9673.3,4344.3,4022.1,792.2,473,42.6,80,38,29.7,55,40,19,58,31,41,45,36,52,41,38,46,42,30,40,36,28,17
Argentina 3 - 3 France,Argentina_France,64,Argentina,France,433,ROMERO Cristian,13,CD,11973.7,6152.1,4292.6,956.7,374.8,197.6,93,39,32.2,54,38,19,55,33,38,41,39,52,40,36,45,40,28,33,35,23,17
Poland 0 - 2 Argentina,Argentina_Poland,39,Argentina,Poland,433,ROMERO Cristian,13,CD,8854.2,4668.8,3261.9,573.8,289.5,60.2,53,23,30.6,53,36,25,52,33,43,48,34,51,38,36,42,38,31,35,38,30,24
Argentina 3 - 3 France,Argentina_France,64,Argentina,France,433,TAGLIAFICO Nicolas,3,FB,13267.3,5306.9,4984.5,1945,830.5,200.3,169,73,30.2,54,38,19,55,33,38,41,39,52,40,36,45,40,28,33,35,23,17
Argentina 2 - 1 Australia,Australia_Argentina,50,Australia,Argentina,442,BEHICH Aziz,16,FB,10520.9,3637.1,4872.2,1204.6,576.5,231.5,106,42,32,57,42,17,57,36,34,44,37,54,42,35,49,39,22,37,34,22,19
Australia 1 - 0 Denmark,Australia_Denmark,37,Australia,Denmark,442,BEHICH Aziz,16,FB,10544.2,3924.5,4395.9,1377.1,538.8,307.9,129,46,31.3,47,38,19,53,36,37,40,38,50,40,37,48,40,25,37,37,22,19
Tunisia 0 - 1 Australia,Australia_Tunisia,21,Australia,Tunisia,442,BEHICH Aziz,16,FB,10344.1,3904.9,4497.6,1246.5,432.4,261.7,123,33,31.9,49,39,20,55,35,40,42,39,50,37,36,46,38,26,36,34,21,18
Australia 1 - 0 Denmark,Australia_Denmark,37,Australia,Denmark,442,DEGENEK Milos,2,FB,10902.4,4099.3,4810.1,1270.1,487.3,236.6,124,44,31,47,38,19,53,36,37,40,38,50,40,37,48,40,25,37,37,22,19
Argentina 2 - 1 Australia,Australia_Argentina,50,Australia,Argentina,442,IRVINE Jackson,22,FW,12977.7,3481.9,6038.5,2435.9,882.5,138.9,198,66,30.1,57,42,17,57,36,34,44,37,54,42,35,49,39,22,37,34,22,19
Australia 1 - 0 Denmark,Australia_Denmark,37,Australia,Denmark,442,IRVINE Jackson,22,CM,12653,3870.6,5214.3,2391.4,988.2,189.8,198,70,31,47,38,19,53,36,37,40,38,50,40,37,48,40,25,37,37,22,19
Tunisia 0 - 1 Australia,Australia_Tunisia,21,Australia,Tunisia,442,IRVINE Jackson,22,CM,11941.9,3737.8,5292.6,2068.3,726.1,117,174,54,31.5,49,39,20,55,35,40,42,39,50,37,36,46,38,26,36,34,21,18
Argentina 2 - 1 Australia,Australia_Argentina,50,Australia,Argentina,442,MOOY Aaron,13,CM,11999.9,3205.2,6587.9,1635.6,396,176.4,143,31,30.1,57,42,17,57,36,34,44,37,54,42,35,49,39,22,37,34,22,19
Australia 1 - 0 Denmark,Australia_Denmark,37,Australia,Denmark,442,MOOY Aaron,13,CM,11969.7,3532.2,5986,1763.1,567.4,122.1,137,36,28.8,47,38,19,53,36,37,40,38,50,40,37,48,40,25,37,37,22,19
