"Source","SS","Df","MS","F_value","Prob","Partial_Eta2","Model"
"defensive_high_area       ",573599.170057601,1,573599.170057601,0.425484377868808,0.372093023255814,0.00109540798681192,"total_distance by defensive_high_area and system"
"system                    ",8615112.71727551,3,2871704.23909184,2.13017269789722,0.0591,0.0162035287374063,"total_distance by defensive_high_area and system"
"defensive_high_area:system",10797857.8265744,3,3599285.94219148,2.66987823523437,0.0222929936305732,0.020225858170485,"total_distance by defensive_high_area and system"
"Residuals                 ",523066156.029285,388,1348108.64956001,1,NA,NA,"total_distance by defensive_high_area and system"
"defensive_mid_area       ",1463727.97177026,1,1463727.97177026,1.06714206024866,0.0904572564612326,0.00274282236890467,"total_distance by defensive_mid_area and system"
"system                   ",15698169.919994,3,5232723.30666465,3.81495690311353,0.0038,0.0286519406020075,"total_distance by defensive_mid_area and system"
"defensive_mid_area:system",723234.619548122,3,241078.206516041,0.175759908223548,1,0.00135712407387275,"total_distance by defensive_mid_area and system"
"Residuals                ",532193860.78225,388,1371633.66180992,1,NA,NA,"total_distance by defensive_mid_area and system"
"defensive_low_area       ",6311569.00955009,1,6311569.00955009,4.7648136113543,0.0064,0.0121314676015483,"total_distance by defensive_low_area and system"
"system                   ",16000772.9793164,3,5333590.99310548,4.02650544149833,0,0.0301927887622659,"total_distance by defensive_low_area and system"
"defensive_low_area:system",12815919.5967693,3,4271973.19892311,3.22505481834549,0.01968564016481,0.0243293152799598,"total_distance by defensive_low_area and system"
"Residuals                ",513952690.58791,388,1324620.33656678,1,NA,NA,"total_distance by defensive_low_area and system"
"possession_build_area       ",34349.6454796866,1,34349.6454796866,0.0250962437735466,0.882352941176471,6.46768572870352e-05,"total_distance by possession_build_area and system"
"system                      ",17778833.2083941,3,5926277.73613136,4.32980628063972,9e-04,0.0323934204534208,"total_distance by possession_build_area and system"
"possession_build_area:system",3051604.21065464,3,1017201.40355155,0.743178977070373,0.498538011695906,0.00571339870565497,"total_distance by possession_build_area and system"
"Residuals                   ",531062041.251239,388,1368716.60116299,1,NA,NA,"total_distance by possession_build_area and system"
"possession_progression_area       ",213122.718715694,1,213122.718715694,0.155965612106935,0.405405405405405,0.000401811709530171,"total_distance by possession_progression_area and system"
"system                            ",14191884.2173188,3,4730628.07243958,3.4619270409765,0.0465028355387524,0.026069658143057,"total_distance by possession_progression_area and system"
"possession_progression_area:system",3092078.9223856,3,1030692.97412853,0.754272756902647,0.181506849315068,0.00579819076983738,"total_distance by possession_progression_area and system"
"Residuals                         ",530191327.079159,388,1366472.49247206,1,NA,NA,"total_distance by possession_progression_area and system"
"possession_third_area       ",1092431.16164313,1,1092431.16164313,0.803051406341921,0.901960784313726,0.0020654452258983,"total_distance by possession_third_area and system"
"system                      ",18489027.5613454,3,6163009.18711515,4.53045772473835,0.004,0.0338437876959049,"total_distance by possession_third_area and system"
"possession_third_area:system",6295352.74932036,3,2098450.91644012,1.54258137149079,0.11138014527845,0.011786594767799,"total_distance by possession_third_area and system"
"Residuals                   ",527815887.46395,388,1360350.22542255,1,NA,NA,"total_distance by possession_third_area and system"
"defensive_high_area       ",18753.6359697196,1,18753.6359697196,1.1593546669132,0.261484098939929,0.00297912578230454,"zone_5 by defensive_high_area and system"
"system                    ",8001.11380018878,3,2667.03793339626,0.164876980651113,0.957286432160804,0.00127319891333902,"zone_5 by defensive_high_area and system"
"defensive_high_area:system",29796.1869973582,3,9932.06233245274,0.614002683841901,0.435146443514644,0.0047250117059787,"zone_5 by defensive_high_area and system"
"Residuals                 ",6276259.51222052,388,16175.9265778879,1,NA,NA,"zone_5 by defensive_high_area and system"
